dealno,north,nhcp,south,shcp,par,ns,nh,nd,nc,np,ss,sh,sd,sc,sp,bid1,bid2,bid3,bid4,bid5,bid6,result,imp
218167, n QT532.Q43.A9.A85 ,12,s 87.KJT62.Q5.KQT4 ,11,100,5,3,2,3,12,2,5,2,4,11,2♥,Pass,no,no,no,no,140,1
218168, n KQ752.83.K86.AQJ ,15,s 8.65.AQJT932.K86 ,10,130,5,2,3,3,15,1,2,7,3,10,2♦,Pass,no,no,no,no,130,0
218169, n AK872.KT87.AJ9.T ,15,s 4.AQ965.832.K764 ,9,450,5,4,3,1,15,1,5,3,4,9,4♥,Pass,no,no,no,no,450,0
218170, n K96532.J63.AK8.Q ,13,s JT.KQ5.QJT9.9653 ,9,-100,6,3,3,1,13,2,3,4,4,9,2♠,Pass,no,no,no,no,140,6
218171, n AQJT5.A85.AJ84.3 ,16,s 62.64.K97.AQ9872 ,9,420,5,3,4,1,16,2,2,3,6,9,4♠,Pass,no,no,no,no,420,0
218172, n KQT864.KT2.AT7.A ,16,s .AQ973.J9642.K92 ,10,980,6,3,3,1,16,0,5,5,3,10,3♠,6♥,Pass,no,no,no,980,0
218173, n AJT6542.K73.5.AJ ,13,s 9.9862.KQ4.K8432 ,8,100,7,3,1,2,13,1,4,3,5,8,Pass,no,no,no,no,no,90,0
218174, n AJ754.3.QT9.AQT6 ,13,s 62.KQ74.3.KJ7543 ,9,100,5,1,3,4,13,2,4,1,6,9,Pass,no,no,no,no,no,120,1
218175, n AKQT8.97.42.K542 ,12,s 94.A63.AJ86.JT93 ,10,110,5,2,2,4,12,2,3,4,4,10,2♠,Pass,no,no,no,no,110,0
218176, n Q9872.KJ872.A7.K ,13,s K3.654.K8632.Q95 ,8,-400,5,5,2,1,13,2,3,5,3,8,2♥,Pass,no,no,no,no,-50,8
218177, n AKT32.T.J52.AQT5 ,14,s .Q95.AKQ96.97643 ,11,920,5,1,3,4,14,0,3,5,5,11,4♦,6♦,Pass,no,no,no,920,0
218178, n AQ942.AJ4.652.Q8 ,13,s T.KT865.KT87.K63 ,9,420,5,3,3,2,13,1,5,4,3,9,4♥,Pass,no,no,no,no,420,0
218179, n AKJ98752.52.A6.5 ,12,s 6.K764.KJ98.J863 ,8,100,8,2,2,1,12,1,4,4,4,8,4♠,Pass,no,no,no,no,420,8
218180, n AKT93.Q3.K82.K98 ,15,s J.AJT975.J63.Q75 ,9,140,5,2,3,3,15,1,6,3,3,9,2♠,Pass,no,no,no,no,140,0
218181, n KQ652.AK953.T6.7 ,12,s 84.2.AQ8.QJT9854 ,9,140,5,5,2,1,12,2,1,3,7,9,2♠,Pass,no,no,no,no,140,0
218182, n AQT8542.AT9.Q7.7 ,12,s .KQ8653.T983.AQ8 ,11,450,7,3,2,1,12,0,6,4,3,11,4♥,Pass,no,no,no,no,450,0
218183, n KJ652.Q.82.AK643 ,13,s 3.AK965.T.QJT987 ,10,300,5,1,2,5,13,1,5,1,6,10,5♣,Pass,no,no,no,no,400,3
218184, n AQJ97.T.QT3.AT94 ,13,s 8.AQ7432.A75.J87 ,11,420,5,1,3,4,13,1,6,3,3,11,4♥,Pass,no,no,no,no,420,0
218185, n KQT87.KQ..KQ6532 ,15,s 3.963.AKT5432.A9 ,11,450,5,2,0,6,15,1,3,7,2,11,4♠,Pass,no,no,no,no,450,0
218186, n AJT97.A94.7.AJT3 ,14,s 32.J62.AQJ54.862 ,8,90,5,3,1,4,14,2,3,5,3,8,Pass,no,no,no,no,no,90,0
218187, n AKQT92.J6.863.A8 ,14,s .K532.K975.Q7432 ,8,110,6,2,3,2,14,0,4,4,5,8,2♠,Pass,no,no,no,no,110,0
218188, n AK863.K.K532.T43 ,13,s T9.8.QT8764.AQJ7 ,9,400,5,1,4,3,13,2,1,6,4,9,2♥,5♦,Pass,no,no,no,400,0
218189, n AKQ96.J4.J92.Q73 ,13,s 74.Q862.K73.KT96 ,8,-90,5,2,3,3,13,2,4,3,4,8,Pass,no,no,no,no,no,-50,1
218190, n K9854.KQ962.QJ.Q ,13,s 6.84.AT6.AJ75432 ,9,120,5,5,2,1,13,1,2,3,7,9,Pass,no,no,no,no,no,120,0
218191, n AJ654.A.AKT.J764 ,17,s K3.JT98752..A953 ,8,420,5,1,3,4,17,2,7,0,4,8,4♥,Pass,no,no,no,no,420,0
218192, n KQJ42.A65.QJ.K86 ,16,s A5.K87.T8432.Q94 ,9,400,5,3,2,3,16,2,3,5,3,9,3N,Pass,no,no,no,no,400,0
218193, n T976432.Q9.AK.K5 ,12,s K8.AJT72.432.T73 ,8,-130,7,2,2,2,12,2,5,3,3,8,2♠,Pass,no,no,no,no,110,6
218194, n AK643.64.KQT84.8 ,12,s Q5.Q72.73.AK9762 ,11,140,5,2,5,1,12,2,3,2,6,11,2♠,Pass,no,no,no,no,140,0
218195, n AKQJ832.6.954.Q7 ,12,s T.K82.T732.AKJT8 ,11,140,7,1,3,2,12,1,3,4,5,11,2♠,Pass,no,no,no,no,140,0
218196, n KQJ98.A.Q76.AT87 ,16,s AT.9753.AJ83.954 ,9,430,5,1,3,4,16,2,4,4,3,9,4♠,Pass,no,no,no,no,420,0
218197, n A8753.J8.A8654.A ,13,s Q2.762.KT7.QJ652 ,8,140,5,2,5,1,13,2,3,3,5,8,2♠,Pass,no,no,no,no,140,0
218198, n AKQT3.KJ6.K96.Q4 ,18,s 97.A842.J.AJT985 ,10,990,5,3,3,2,18,2,4,1,6,10,4♣,6N,Pass,no,no,no,990,0
218199, n K9864.53.AKQ6.K7 ,15,s J.K87.2.AQJT9643 ,11,130,5,2,4,2,15,1,3,1,8,11,2♣,Pass,no,no,no,no,130,0
218200, n AKT652.A8.J7.A72 ,16,s J.T762.AQ932.JT3 ,8,430,6,2,2,3,16,1,4,5,3,8,4♠,Pass,no,no,no,no,420,0
218201, n KQJT82.A984.A4.K ,17,s 3.K6532.83.AJT83 ,8,450,6,4,2,1,17,1,5,2,5,8,4♥,Pass,no,no,no,no,450,0
218202, n AKJ83.J73.AT4.42 ,13,s 65.T54.KJ7653.A6 ,8,130,5,3,3,2,13,2,3,6,2,8,3N,Pass,no,no,no,no,400,7
218203, n AJ87652.6.KQJ6.K ,14,s KT.AK9.T7542.J95 ,11,300,7,1,4,1,14,2,3,5,3,11,2♥,5♦,Pass,no,no,no,400,3
218204, n KT9874.A.Q873.QJ ,12,s .K984.AT62.A8732 ,11,400,6,1,4,2,12,0,4,4,5,11,2♠,5♦,Pass,no,no,no,400,0
218205, n AJ986.AQ.5.Q9852 ,13,s Q4.9532.A643.AJ6 ,11,140,5,2,1,5,13,2,4,4,3,11,2♠,Pass,no,no,no,no,140,0
218206, n AJ975.T3.J62.AQT ,12,s T.KQJ7.KT9.J9864 ,10,110,5,2,3,3,12,1,4,3,5,10,2♣,Pass,no,no,no,no,110,0
218207, n AQJ8762.AK53.76. ,14,s K.QJ742.8.Q98532 ,8,980,7,4,2,0,14,1,5,1,6,8,4♥,6♥,Pass,no,no,no,980,0
218208, n KQJ93.QT62.8.AK7 ,15,s T5.A753.QJ76.J94 ,8,140,5,4,1,3,15,2,4,4,3,8,2♠,Pass,no,no,no,no,140,0
218209, n KQJ98.A9.874.AJ9 ,15,s 5.KQ7632.A962.Q7 ,11,430,5,2,3,3,15,1,6,4,2,11,3N,Pass,no,no,no,no,430,0
218210, n AQT52.QT42.KJ.J2 ,13,s J3.A97.872.AQ984 ,11,450,5,4,2,2,13,2,3,3,5,11,4♠,Pass,no,no,no,no,450,0
218211, n KQ7632.AJ.A4.J92 ,15,s T8.QT7.J86.KQ863 ,8,140,6,2,2,3,15,2,3,3,5,8,2♣,Pass,no,no,no,no,130,0
218212, n KJT64.KQ32.2.AJ9 ,14,s Q8.A9876.KT8.QT7 ,11,420,5,4,1,3,14,2,5,3,3,11,4♥,Pass,no,no,no,no,420,0
218213, n KQ952.A865.A7.74 ,13,s 76.72.KT842.AQ98 ,9,110,5,4,2,2,13,2,2,5,4,9,2♠,Pass,no,no,no,no,110,0
218214, n AK972.A6.QT7.QT7 ,15,s 64.75.AK954.A863 ,11,300,5,2,3,3,15,2,2,5,4,11,3N,Pass,no,no,no,no,400,3
218215, n AKQJ5.T.987.AT98 ,14,s T6.K953.A654.KJ6 ,11,460,5,1,3,4,14,2,4,4,3,11,4♠,Pass,no,no,no,no,420,-1
218216, n K7632.K87.AK2.J8 ,14,s T.Q542.JT965.KQ6 ,8,140,5,3,3,2,14,1,4,5,3,8,3♥,Pass,no,no,no,no,140,0
218217, n KJ643..AT843.AK9 ,15,s A5.T76543.K65.Q4 ,9,920,5,0,5,3,15,2,6,3,2,9,3♥,6♦,Pass,no,no,no,920,0
218218, n AKQ752.KQ92.4.T7 ,14,s J.A865.KT873.Q53 ,10,420,6,4,1,2,14,1,4,5,3,10,4♠,Pass,no,no,no,no,420,0
218219, n KQJT876.AQT.92.6 ,12,s A4.6542.5.AK8743 ,11,450,7,3,2,1,12,2,4,1,6,11,4♠,Pass,no,no,no,no,450,0
218220, n QT974.AT9.84.AK6 ,13,s .K7542.KQ62.Q753 ,10,420,5,3,2,3,13,0,5,4,4,10,4♥,Pass,no,no,no,no,420,0
218221, n AK8763.Q3.Q32.K3 ,14,s T2.AK85.T876.J74 ,8,-110,6,2,3,2,14,2,4,4,3,8,Pass,no,no,no,no,no,-50,2
218222, n AKQ76.432.A54.65 ,13,s 2.Q865.KQ63.QJT2 ,10,120,5,3,3,2,13,1,4,4,4,10,Pass,no,no,no,no,no,120,0
218223, n KQ7542..K6.AQJ83 ,15,s J6.JT.QJ8543.K65 ,8,450,6,0,2,5,15,2,2,6,3,8,4♠,Pass,no,no,no,no,450,0
218224, n Q8653.54.AQ2.KQJ ,14,s 7.AQJT83.J85.643 ,8,140,5,2,3,3,14,1,6,3,3,8,2♥,Pass,no,no,no,no,110,-1
218225, n AJ98654.2.A4.K83 ,12,s Q2.Q7.K9863.A742 ,11,980,7,1,2,3,12,2,2,5,4,11,3N,6♠,Pass,no,no,no,980,0
218226, n AK732.865.AQ.AK2 ,20,s 96.K7.KJT83.QT64 ,9,990,5,3,2,3,20,2,2,5,4,9,4♦,6N,Pass,no,no,no,990,0
218227, n AKQ54.AK643.74.2 ,16,s T.QJ.QJ965.KQ854 ,11,420,5,5,2,1,16,1,2,5,5,11,4♥,Pass,no,no,no,no,420,0
218228, n AQT964.Q75.A76.8 ,12,s KJ.A842.93.Q9432 ,10,420,6,3,3,1,12,2,4,2,5,10,4♠,Pass,no,no,no,no,420,0
218229, n KQJ52.3.J6.AJT53 ,12,s .AQJT752.AT95.82 ,11,140,5,1,2,5,12,0,7,4,2,11,2♥,Pass,no,no,no,no,140,0
218230, n AT765.42.AK53.A8 ,15,s K8.KQ96.QT962.42 ,10,920,5,2,4,2,15,2,4,5,2,10,3♥,6♦,Pass,no,no,no,920,0
218231, n AJT32.KQ5.QJT4.9 ,13,s Q7.T86.52.AKT763 ,9,120,5,3,4,1,13,2,3,2,6,9,2♠,Pass,no,no,no,no,110,0
218232, n J8532.AKQ.J4.Q73 ,13,s A6.T6.KQT983.J42 ,10,-100,5,3,2,3,13,2,2,6,3,10,Pass,no,no,no,no,no,90,5
218233, n QJ9743.4.KT.AK86 ,13,s .9732.AQJ5432.QT ,9,400,6,1,2,4,13,0,4,7,2,9,2♠,5♦,Pass,no,no,no,400,0
218234, n AKT954.AT3.Q62.J ,14,s Q3.875.KT3.AT965 ,9,420,6,3,3,1,14,2,3,3,5,9,4♠,Pass,no,no,no,no,420,0
218235, n AJ9653..AK8.T743 ,12,s 74.KJ43.754.AQ92 ,10,140,6,0,3,4,12,2,4,3,4,10,2♠,Pass,no,no,no,no,140,0
218236, n AT6532.AKQ84.64. ,13,s K.T9532.KQ.K9876 ,11,980,6,5,2,0,13,1,5,2,5,11,4♥,6♥,Pass,no,no,no,980,0
218237, n AKT432.AT5.9.AKJ ,19,s 75.Q8.AKJT6.9763 ,10,920,6,3,1,3,19,2,2,5,4,10,4♣,6♣,Pass,no,no,no,920,0
218238, n QJ963.AT3.A4.K96 ,14,s K5.Q72.KT52.8743 ,8,140,5,3,2,3,14,2,3,4,4,8,2♠,Pass,no,no,no,no,140,0
218239, n QJ983.AQ.QJ6.KQ6 ,17,s A.853.T8753.A753 ,8,110,5,2,3,3,17,1,3,5,4,8,2♦,Pass,no,no,no,no,110,0
218240, n AJT72.A3.43.AQJ3 ,16,s Q4.QJ752.AT52.96 ,9,140,5,2,2,4,16,2,5,4,2,9,2♠,Pass,no,no,no,no,140,0
218241, n AJT743..Q65.AJ93 ,12,s 95.AQ87654.T4.K8 ,9,140,6,0,3,4,12,2,7,2,2,9,2♠,Pass,no,no,no,no,140,0
218242, n Q9853.A72.KJ3.AK ,17,s A2.KJ863.72.J972 ,9,450,5,3,3,2,17,2,5,2,4,9,4♥,Pass,no,no,no,no,450,0
218243, n AQJ43.A6.T986.Q7 ,13,s 97.K9.AQJ4.T9642 ,10,400,5,2,4,2,13,2,2,4,5,10,3N,Pass,no,no,no,no,400,0
218244, n AJT53.A6432.2.K6 ,12,s K8.JT87.JT4.AT92 ,9,450,5,5,1,2,12,2,4,3,4,9,4♥,Pass,no,no,no,no,450,0
218245, n A9864.A.AJ8.T853 ,13,s J2.KJT8642.Q5.Q6 ,9,420,5,1,3,4,13,2,7,2,2,9,4♥,Pass,no,no,no,no,420,0
218246, n AKJ84.Q53.J94.JT ,12,s Q.J872.KQ765.Q52 ,10,-90,5,3,3,2,12,1,4,5,3,10,Pass,no,no,no,no,no,-50,1
218247, n AK8632.KQJ8.93.3 ,13,s J9.T732.QT75.KQ5 ,8,140,6,4,2,1,13,2,4,4,3,8,2♥,Pass,no,no,no,no,140,0
218248, n AK874.63.A.K8543 ,14,s T6.KQT74.QJ96.Q2 ,10,400,5,2,1,5,14,2,5,4,2,10,3N,Pass,no,no,no,no,400,0
218249, n AQJ963.K87.Q6.53 ,12,s T8.A632.KT974.K7 ,10,420,6,3,2,2,12,2,4,5,2,10,4♠,Pass,no,no,no,no,420,0
218250, n AJ975.983.K8.KJ8 ,12,s 3.4.AQ973.Q97643 ,8,400,5,3,2,3,12,1,1,5,6,8,5♣,Pass,no,no,no,no,400,0
218251, n AJT75.AQ32.Q9.K9 ,16,s K3.K875.AJ8743.7 ,11,990,5,4,2,2,16,2,4,6,1,11,3N,6♠,Pass,no,no,no,980,0
218252, n AQ743.6.K86.AJT6 ,14,s J5.KQJ73.A543.92 ,11,140,5,1,3,4,14,2,5,4,2,11,Pass,no,no,no,no,no,120,-1
218253, n QJ862.KJ2.QJ6.K4 ,13,s K9.Q4.K85.Q98653 ,10,140,5,3,3,2,13,2,2,3,6,10,2♠,Pass,no,no,no,no,140,0
218254, n 76543.A976.AQ.Q3 ,12,s KQ.K832.96.KT876 ,11,-100,5,4,2,2,12,2,4,2,5,11,Pass,no,no,no,no,no,120,6
218255, n AK8632.AK8.96.Q4 ,16,s 4.97653.J8742.AK ,8,140,6,3,2,2,16,1,5,5,2,8,2♥,Pass,no,no,no,no,140,0
218256, n AK754.76.J95.AQJ ,15,s 6.T3.AK632.K9432 ,10,400,5,2,3,3,15,1,2,5,5,10,2♥,5♦,Pass,no,no,no,400,0
218257, n KQ8764.K4.Q4.QJT ,13,s T.AT862.KJ876.76 ,8,-90,6,2,2,3,13,1,5,5,2,8,Pass,no,no,no,no,no,90,5
218258, n KQJT94.AT6.863.A ,14,s A2.987.K.K875432 ,10,300,6,3,3,1,14,2,3,1,7,10,4♠,Pass,no,no,no,no,420,3
218259, n QJ842.QJ9.K2.A43 ,13,s .AKT863.JT96.QT9 ,10,300,5,3,2,3,13,0,6,4,3,10,4♥,Pass,no,no,no,no,450,4
218260, n AKJ53.AJ2.6.QJ63 ,16,s 42.K8.AJT875.972 ,8,420,5,3,1,4,16,2,2,6,3,8,4♠,Pass,no,no,no,no,420,0
218261, n KQ8654.5.KQ.AQT9 ,16,s A9.QJT.8752.KJ65 ,11,450,6,1,2,4,16,2,3,4,4,11,4♠,Pass,no,no,no,no,450,0
218262, n AKQ943.AT5.A6.J9 ,18,s 82.7.QJ953.KQ864 ,8,450,6,3,2,2,18,2,1,5,5,8,4♠,Pass,no,no,no,no,450,0
218263, n AJT85.K7.Q32.AJ5 ,15,s 93.AQJT82.KT5.42 ,10,430,5,2,3,3,15,2,6,3,2,10,4♠,Pass,no,no,no,no,420,0
218264, n Q7643.KJT8..AQ94 ,12,s K8.A3.KT754.T762 ,10,400,5,4,0,4,12,2,2,5,4,10,2♠,Pass,no,no,no,no,140,-6
218265, n KJ985.KQ7.Q987.Q ,13,s AQ.942.KT52.JT94 ,10,400,5,3,4,1,13,2,3,4,4,10,3N,Pass,no,no,no,no,400,0
218266, n AQT73.A9.J8.K832 ,14,s 2.KT865.A9753.A6 ,11,420,5,2,2,4,14,1,5,5,2,11,4♥,Pass,no,no,no,no,420,0
218267, n AJT42.T32.A7.K75 ,12,s Q9.K984.J86.AJ82 ,11,460,5,3,2,3,12,2,4,3,4,11,3N,Pass,no,no,no,no,460,0
218268, n QJ965.853.A.AJ82 ,12,s T4.AKJ6.KT6432.7 ,11,420,5,3,1,4,12,2,4,6,1,11,4♥,Pass,no,no,no,no,420,0
218269, n AQ532.A65.K2.J84 ,14,s KJ.J7.A9864.Q965 ,11,120,5,3,2,3,14,2,2,5,4,11,Pass,no,no,no,no,no,120,0
218270, n QT763.QJ.AT742.A ,13,s 8.K987653.K6.K94 ,9,420,5,2,5,1,13,1,7,2,3,9,4♥,Pass,no,no,no,no,420,0
218271, n AKQ8643.72..K986 ,12,s 7.KQ4.T96532.A53 ,9,420,7,2,0,4,12,1,3,6,3,9,4♠,Pass,no,no,no,no,420,0
218272, n AJ632.Q82.KQ8.Q3 ,14,s 7.AT95.A6542.K87 ,11,400,5,3,3,2,14,1,4,5,3,11,3N,Pass,no,no,no,no,400,0
218273, n AKQ52.JT7.72.KQ2 ,15,s 63.KQ6532.5.A875 ,9,300,5,3,2,3,15,2,6,1,4,9,4♥,Pass,no,no,no,no,420,3
218274, n AT973.AKQ82.6.T5 ,13,s 4.6.QJ987.AJ8764 ,8,110,5,5,1,2,13,1,1,5,6,8,2♣,Pass,no,no,no,no,110,0
218275, n QT87653.KQ8..AQ9 ,13,s 94.765.AK5.J8762 ,8,-100,7,3,0,3,13,2,3,3,5,8,2♠,Pass,no,no,no,no,110,5
218276, n AQ964.KQ.83.KJ74 ,15,s T8.AJ965..AQ9632 ,11,1510,5,2,2,4,15,2,5,0,6,11,4♠,7♥,Pass,no,no,no,1510,0
218277, n AJ543.Q84.K75.AQ ,16,s T.AJT5.AJ83.7532 ,10,980,5,3,3,2,16,1,4,4,4,10,4♥,6♥,Pass,no,no,no,980,0
218278, n AKJ632.J984.Q.K9 ,14,s T9.AT3.A763.J852 ,9,420,6,4,1,2,14,2,3,4,4,9,4♠,Pass,no,no,no,no,420,0
218279, n AJT753.AK8..J753 ,13,s Q4.Q97632.JT8.K9 ,8,500,6,3,0,4,13,2,6,3,2,8,4♠,6♠,Pass,no,no,no,980,10
218280, n KQJ742.AQ.3.KT52 ,15,s .J863.AQJ9852.J3 ,9,920,6,2,1,4,15,0,4,7,2,9,3♥,6♦,Pass,no,no,no,920,0
218281, n AQJ983.KQ95.J.T7 ,13,s 4.J632.AKT94.K92 ,11,420,6,4,1,2,13,1,4,5,3,11,4♥,Pass,no,no,no,no,420,0
218282, n J8643.KQ3.AQ4.64 ,12,s AT.72.T7652.KJ75 ,8,110,5,3,3,2,12,2,2,5,4,8,2♦,Pass,no,no,no,no,110,0
218283, n Q9765.A.Q97.AQ76 ,14,s .QJ9652.A632.KJ5 ,11,450,5,1,3,4,14,0,6,4,3,11,4♥,Pass,no,no,no,no,450,0
218284, n AQJ94.J86.Q.QJ43 ,13,s T7.Q54.K5.AT9762 ,9,100,5,3,1,4,13,2,3,2,6,9,Pass,no,no,no,no,no,120,1
218285, n QJ654.KQ85.6.AT9 ,12,s T3.T976.AQ87.K73 ,9,140,5,4,1,3,12,2,4,4,3,9,2♠,Pass,no,no,no,no,140,0
218286, n AT7643.A753.A.QT ,14,s 5.Q9.J76.AKJ9876 ,11,1440,6,4,1,2,14,1,2,3,7,11,4♥,7♣,Pass,no,no,no,1440,0
218287, n AJ973.T.Q2.AKJT2 ,15,s 64.A742.A984.Q97 ,10,420,5,1,2,5,15,2,4,4,3,10,4♠,Pass,no,no,no,no,420,0
218288, n AT754.AJT5.K8.K2 ,15,s 83.Q6.AQT653.T53 ,8,400,5,4,2,2,15,2,2,6,3,8,3N,Pass,no,no,no,no,400,0
218289, n KQ86532.A7.Q74.K ,14,s AJ.T82.K62.JT653 ,9,100,7,2,3,1,14,2,3,3,5,9,4♠,Pass,no,no,no,no,420,8
218290, n A9643.97.AJ.AJ93 ,14,s 85.A8542.KQT865. ,9,450,5,2,2,4,14,2,5,6,0,9,4♥,Pass,no,no,no,no,450,0
218291, n AQJ93.Q.KT6.KJ32 ,16,s 64.943.A94.AT954 ,8,920,5,1,3,4,16,2,3,3,5,8,4♣,6♣,Pass,no,no,no,920,0
218292, n AK762.8.A92.KQT4 ,16,s 85.KQJ76.KJ74.J3 ,11,430,5,1,3,4,16,2,5,4,2,11,3N,Pass,no,no,no,no,430,0
218293, n AKJ42.K3.KQT.K75 ,19,s 73.A96.A976.Q832 ,10,430,5,2,3,3,19,2,3,4,4,10,4♠,Pass,no,no,no,no,420,0
218294, n AQ854.KT2.AT.A86 ,17,s 92.AQ.K97643.J43 ,10,430,5,3,2,3,17,2,2,6,3,10,3N,Pass,no,no,no,no,430,0
218295, n AK8642.32.Q97.A7 ,13,s J9.QJT65.A32.K64 ,11,140,6,2,3,2,13,2,5,3,3,11,3♠,Pass,no,no,no,no,140,0
218296, n AQJ75..8.AKJT974 ,15,s K4.J876.A97432.2 ,8,500,5,0,1,7,15,2,4,6,1,8,4♣,6♣,Pass,no,no,no,920,9
218297, n AT875.KQ4.Q5.K98 ,14,s K.JT93.AT9762.T3 ,8,420,5,3,2,3,14,1,4,6,2,8,4♥,Pass,no,no,no,no,420,0
218298, n AQJT96.KJ.A53.65 ,15,s 5.AT9765.Q6.QJ84 ,9,420,6,2,3,2,15,1,6,2,4,9,4♥,Pass,no,no,no,no,420,0
218299, n KJ732.4.AKQ73.KT ,16,s 85.AKQ9652.8.Q92 ,11,460,5,1,5,2,16,2,7,1,3,11,3N,Pass,no,no,no,no,460,0
218300, n AKJT76.AJ53..874 ,13,s 42.K864.KQ652.J2 ,9,450,6,4,0,3,13,2,4,5,2,9,4♥,Pass,no,no,no,no,450,0
218301, n AKJ754.T.J875.K4 ,12,s 8.Q82.93.AQJ9532 ,9,130,6,1,4,2,12,1,3,2,7,9,2♣,Pass,no,no,no,no,130,0
218302, n A9843.AK84.AK74. ,18,s J.JT96.JT9653.AQ ,9,1510,5,4,4,0,18,1,4,6,2,9,4♠,7♥,Pass,no,no,no,1510,0
218303, n AJ865.KQ987..A53 ,14,s QT.6.AJ8742.J974 ,8,140,5,5,0,3,14,2,1,6,4,8,2♠,Pass,no,no,no,no,110,-1
218304, n AK532.Q85.K.QT74 ,14,s 9.T73.AT852.AJ32 ,9,120,5,3,1,4,14,1,3,5,4,9,Pass,no,no,no,no,no,120,0
218305, n AKJ97.KT.43.JT53 ,12,s .J9732.KJ97.AQ62 ,11,400,5,2,2,4,12,0,5,4,4,11,3N,Pass,no,no,no,no,400,0
218306, n K9752.AT2.A42.Q2 ,13,s J3.7643.K53.AK95 ,11,110,5,3,3,2,13,2,4,3,4,11,2♥,Pass,no,no,no,no,110,0
218307, n QJ753.K53.AK53.5 ,13,s K4.AJ4.87642.Q62 ,10,400,5,3,4,1,13,2,3,5,3,10,2♥,5♦,Pass,no,no,no,400,0
218308, n AQ842.J3.J9.KQJ6 ,14,s 76.KQ8742.AT8.74 ,9,100,5,2,2,4,14,2,6,3,2,9,2♥,Pass,no,no,no,no,110,0
218309, n KQ963.K432.QJT.A ,15,s 8.J976.AK94.Q854 ,10,420,5,4,3,1,15,1,4,4,4,10,4♥,Pass,no,no,no,no,420,0
218310, n AQJ87.Q63.J5.Q93 ,12,s 95.A9.AKT987.754 ,11,100,5,3,2,3,12,2,2,6,3,11,Pass,no,no,no,no,no,120,1
218311, n A87652.K7.A6.KJT ,15,s 9.AQ962.K53.9764 ,9,420,6,2,2,3,15,1,5,3,4,9,4♥,Pass,no,no,no,no,420,0
218312, n AK983.A95.J64.82 ,12,s 4.KQT82.8753.K54 ,8,-100,5,3,3,2,12,1,5,4,3,8,Pass,no,no,no,no,no,120,6
218313, n AQJT6.Q743.K3.43 ,12,s 5.K8652.Q87.AT92 ,9,420,5,4,2,2,12,1,5,3,4,9,4♥,Pass,no,no,no,no,420,0
218314, n AQ762.QJ53.KJ4.T ,13,s T5.T97.AT762.AJ9 ,9,100,5,4,3,1,13,2,3,5,3,9,Pass,no,no,no,no,no,120,1
218315, n QT932.Q5.AK4.Q87 ,13,s J5.KJT8.QJ2.T632 ,8,80,5,2,3,3,13,2,4,3,4,8,Pass,no,no,no,no,no,-50,-4
218316, n AK643.QJ.4.Q9843 ,12,s 7.98762.AQT2.KJ5 ,10,-90,5,2,1,5,12,1,5,4,3,10,2♣,Pass,no,no,no,no,90,5
218317, n AKQT3.Q6.KJ.KQT2 ,20,s 75.T854.AT764.A6 ,8,460,5,2,2,4,20,2,4,5,2,8,3N,Pass,no,no,no,no,460,0
218318, n KQJT5.A43.A.Q542 ,16,s 4.QJ5.Q9764.KJ76 ,9,140,5,3,1,4,16,1,3,5,4,9,2♣,Pass,no,no,no,no,130,0
218319, n AK964.K54.A952.5 ,14,s Q.AT982.K873.432 ,9,450,5,3,4,1,14,1,5,4,3,9,4♥,Pass,no,no,no,no,450,0
218320, n AKT82.AKQ65.8.Q4 ,18,s 74.J874.K75.AJ96 ,9,980,5,5,1,2,18,2,4,3,4,9,2♥,2♠,2N,5♥,Pass,no,450,-11
218321, n AKJT963..AQ96.T8 ,14,s 54.KQT85.KT8.643 ,8,450,7,0,4,2,14,2,5,3,3,8,4♠,Pass,no,no,no,no,450,0
218322, n KQ876.QT..AQ9875 ,13,s 52.AJ87.T8754.K3 ,8,400,5,2,0,6,13,2,4,5,2,8,5♣,Pass,no,no,no,no,400,0
218323, n KJT53.J7.T875.AK ,12,s 94.AT94.AJ432.75 ,9,100,5,2,4,2,12,2,4,5,2,9,Pass,no,no,no,no,no,90,0
218324, n AKT763.K862.5.AJ ,15,s 5.AJT.AQ9863.T86 ,11,420,6,4,1,2,15,1,3,6,3,11,4♠,Pass,no,no,no,no,420,0
218325, n QJ432.AQJ3.Q.KQ6 ,17,s AK.KT976.JT643.8 ,11,450,5,4,1,3,17,2,5,5,1,11,4♥,Pass,no,no,no,no,450,0
218326, n AKJ32.J7.Q84.AJ5 ,16,s 54.AQT9843.AJ65. ,11,1520,5,2,3,3,16,2,7,4,0,11,4♠,7♥,Pass,no,no,no,1510,0
218327, n AKQT9.43.KQJ83.J ,16,s J3.QT.A95.Q97654 ,9,420,5,2,5,1,16,2,2,3,6,9,4♠,Pass,no,no,no,no,420,0
218328, n QJ653.J.KQ52.K43 ,12,s AT.86.T6.AT97652 ,8,100,5,1,4,3,12,2,2,2,7,8,2♣,Pass,no,no,no,no,130,1
218329, n KT973.K53.AT3.AK ,17,s AQ.862.Q62.QT843 ,10,140,5,3,3,2,17,2,3,3,5,10,2♠,Pass,no,no,no,no,140,0
218330, n AKJ54.AJ.93.QJT2 ,16,s Q2.9632.AT8.K953 ,9,420,5,2,2,4,16,2,4,3,4,9,4♠,Pass,no,no,no,no,420,0
218331, n J97432.A43.A6.A6 ,13,s K.KQJ5.JT9875.J7 ,11,-100,6,3,2,2,13,1,4,6,2,11,2♠,Pass,no,no,no,no,110,5
