dealno,north,south,par,ns,nh,nd,nc,np,ss,sh,sd,sc,sp,bid1,bid2,bid3,bid4,bid5,bid6,result,imp
215964, n Q64.QT4.K6.AJ987 ,s KJ75.8.AQT832.Q6 ,-100,3,3,2,5,12,4,1,6,2,12,1♠,Pass,no,no,no,no,110,5
215965, n Q985.QT2.AQJ72.3 ,s AK32.9853..AJT42 ,450,4,3,5,1,11,4,4,0,5,12,3N,4♠,Pass,no,no,no,450,0
215966, n KQJ3.Q5.AK82.A93 ,s 95.AJT43.Q753.75 ,420,4,2,4,3,19,2,5,4,2,7,3N,4♥,Pass,no,no,no,420,0
215967, n 4.KQT742.KQ72.Q9 ,s Q62.AJ95.AT.AJT4 ,980,1,6,4,2,12,3,4,2,4,16,3N,6♥,Pass,no,no,no,980,0
215968, n A6.K97.KT62.AK86 ,s QJT93.A84.5.7542 ,400,2,3,4,4,17,5,3,1,4,7,3N,Pass,no,no,no,no,400,0
215969, n AQ62.32.KQ2.J632 ,s K3.974.A8.AK9874 ,430,4,2,3,4,12,2,3,2,6,14,3N,Pass,no,no,no,no,430,0
215970, n AK4.Q543.J7.QT93 ,s J2.T8.AKQ2.AKJ64 ,460,3,4,2,4,12,2,2,4,5,18,3N,Pass,no,no,no,no,460,0
215971, n AQ64.AK.QJ953.A3 ,s JT73.JT63.T2.K98 ,450,4,2,5,2,20,4,4,2,3,5,3N,4♠,Pass,no,no,no,450,0
215972, n A4.AKQJ65.Q.T842 ,s KT86.4.9864.QJ93 ,130,2,6,1,4,16,4,1,4,4,6,1♥,Pass,no,no,no,no,140,0
215973, n 853.AJT9.AKQ7.84 ,s KQJ76.KQ64.4.QT2 ,420,3,4,4,2,14,5,4,1,3,13,1♥,4♥,Pass,no,no,no,420,0
215974, n KT7.AK.QT94.T743 ,s Q.QT98.J853.AQJ6 ,400,3,2,4,4,12,1,4,4,4,12,3N,Pass,no,no,no,no,400,0
215975, n Q76.AKQ9.KQT96.K ,s 54.T52.AJ873.954 ,100,3,4,5,1,19,2,3,5,3,5,1♦,Pass,no,no,no,no,130,1
215976, n KJ5.AQJ97642..J3 ,s A.53.AT875.AQ876 ,980,3,8,0,2,12,1,2,5,5,14,3N,6♥,Pass,no,no,no,980,0
215977, n Q7.AK2.5.AQ87642 ,s T4.98763.AQT943. ,140,2,3,1,7,15,2,5,6,0,6,1♥,Pass,no,no,no,no,140,0
215978, n AJ.J82.KQ64.T964 ,s 7432.A765.J2.AK7 ,-110,2,3,4,4,11,4,4,2,3,12,1♦,Pass,no,no,no,no,70,5
215979, n KT3.KJ632.4.AKT6 ,s Q.A9.AQT862.QJ92 ,920,3,5,1,4,14,1,2,6,4,15,3N,6♣,Pass,no,no,no,920,0
215980, n AQJT.7.A653.9842 ,s 63.AKQ842.KQ2.A3 ,980,4,1,4,4,11,2,6,3,2,18,3N,6♥,Pass,no,no,no,980,0
215981, n 74.A654.KJT2.AJ8 ,s A9.QT873.Q54.QT4 ,450,2,4,4,3,13,2,5,3,3,10,3N,4♥,Pass,no,no,no,450,0
215982, n .KQ652.K73.AT974 ,s AKT8.T9.AQ2.KQ63 ,460,0,5,3,5,12,4,2,3,4,18,3N,Pass,no,no,no,no,460,0
215983, n A943.KT9.AKQ5.QT ,s QT86.Q2.96.J8543 ,110,4,3,4,2,18,4,2,2,5,5,1♠,Pass,no,no,no,no,110,0
215984, n J9862.A86.AQ42.T ,s A5.Q53.K986.KQ95 ,400,5,3,4,1,11,2,3,4,4,14,3N,Pass,no,no,no,no,400,0
215985, n 6532.AQ62.K.QT95 ,s KQT.K98.QJT8.AJ3 ,460,4,4,1,4,11,3,3,4,3,16,3N,Pass,no,no,no,no,460,0
215986, n A62.QJT2.AQ8.AK8 ,s Q85.A984.KJ953.5 ,1510,3,4,3,3,20,3,4,5,1,10,1♠,4♠,7♥,Pass,no,no,1510,0
215987, n A95.AQJ5.A9.AQ76 ,s KQ76.74.543.J432 ,430,3,4,2,4,21,4,2,3,4,6,3N,Pass,no,no,no,no,430,0
215988, n K5.JT82.KJ.AT982 ,s AT2.Q5.8762.KQ63 ,130,2,4,2,5,12,3,2,4,4,11,1♣,Pass,no,no,no,no,130,0
215989, n J.K743.K43.AK953 ,s KT5.AT65.J86.Q84 ,300,1,4,3,5,14,3,4,3,3,10,3N,Pass,no,no,no,no,400,3
215990, n KJ972.8653.A.A52 ,s 5.A74.KQJ8742.KQ ,460,5,4,1,3,12,1,3,7,2,15,3N,Pass,no,no,no,no,460,0
215991, n KQ863.KQ84.Q9.AK ,s A9.J73.AT83.J875 ,450,5,4,2,2,19,2,3,4,4,10,3N,4♥,Pass,no,no,no,450,0
215992, n AK75.Q6.Q7.AKQ96 ,s Q32.K87.A63.8432 ,990,4,2,2,5,20,3,3,3,4,9,1♥,1♠,1N,4N,Pass,no,460,-11
215993, n A86.K3.KJ65.Q652 ,s Q54.JT954.AT4.J4 ,-110,3,2,4,4,13,3,5,3,2,8,1♥,Pass,no,no,no,no,-50,2
215994, n A8.AKQT4.JT54.97 ,s KQ53.875.A873.64 ,100,2,5,4,2,14,4,3,4,2,9,1♥,Pass,no,no,no,no,110,0
215995, n AJ983.AK8.5.J952 ,s KT72.Q942.A9.T83 ,450,5,3,1,4,13,4,4,2,3,9,3N,4♠,Pass,no,no,no,450,0
215996, n AQ9.K53.94.AQJ52 ,s T2.AQJ86.A72.873 ,460,3,3,2,5,16,2,5,3,3,11,3N,Pass,no,no,no,no,460,0
215997, n QJ7.A65.AKJ6.942 ,s AT84.QJ.T53.KJ76 ,460,3,3,4,3,15,4,2,3,4,11,3N,Pass,no,no,no,no,460,0
215998, n 4.A.AQT984.AQT64 ,s T93.QJ9.7532.K32 ,800,1,1,6,5,16,3,3,4,3,6,3♦,6♦,Pass,no,no,no,920,3
215999, n K2.Q9.K963.KJ852 ,s J3.AJT632.A5.A94 ,450,2,2,4,5,12,2,6,2,3,14,3N,4♥,Pass,no,no,no,450,0
216000, n J94.K98.AK3.KJ54 ,s AK8.QT65.J76.973 ,430,3,3,3,4,15,3,4,3,3,10,3N,Pass,no,no,no,no,430,0
216001, n QJT.72.QJT7.AK92 ,s K97.AQ9854.8.QJ5 ,140,3,2,4,4,13,3,6,1,3,12,1♥,Pass,no,no,no,no,140,0
216002, n AKT2.AQJ952..K92 ,s 9843.T84.AT62.53 ,450,4,6,0,3,17,4,3,4,2,4,3N,4♥,Pass,no,no,no,450,0
216003, n 986.752.AK4.A962 ,s AQT5.AK64.J2.853 ,400,3,3,3,4,11,4,4,2,3,14,3N,Pass,no,no,no,no,400,0
216004, n T62.AJ98.A98.Q95 ,s AK73.K7.QT4.AJ43 ,460,3,4,3,3,11,4,2,3,4,17,3N,Pass,no,no,no,no,460,0
216005, n 74.AKQ.Q87.QJT43 ,s A532.862.AK.8762 ,400,2,3,3,5,14,4,3,2,4,11,3N,Pass,no,no,no,no,400,0
216006, n KJ.AK54.AJ7.8642 ,s 98765.QJ9.K53.T5 ,110,2,4,3,4,16,5,3,3,2,6,1♥,Pass,no,no,no,no,110,0
216007, n A8.A976.KJ852.A4 ,s T96532.K8.T6.Q95 ,110,2,4,5,2,16,6,2,2,3,5,1♠,Pass,no,no,no,no,110,0
216008, n A.T74.A954.AQJ95 ,s KJ86.6.KJ8762.K6 ,920,1,3,4,5,15,4,1,6,2,11,3N,6♣,Pass,no,no,no,920,0
216009, n AJ983.AT.96.KJT7 ,s QT64.J6.AK75.852 ,420,5,2,2,4,13,4,2,4,3,10,1♠,4♠,Pass,no,no,no,420,0
216010, n KJ976.J42.A85.Q4 ,s 2.93.KQJ32.AJT52 ,130,5,3,3,2,11,1,2,5,5,11,1♦,Pass,no,no,no,no,130,0
216011, n KQ6.K4.K8763.AKJ ,s 975.AQ7.T2.QT853 ,460,3,2,5,3,19,3,3,2,5,8,3N,Pass,no,no,no,no,460,0
216012, n A92.A93.A63.QJ93 ,s 73.J764.Q9.AKT64 ,400,3,3,3,4,15,2,4,2,5,10,3N,Pass,no,no,no,no,400,0
216013, n QJ974.8.QJ9.KQ87 ,s 83.KQ.AKT6.T6532 ,-100,5,1,3,4,11,2,2,4,5,12,1♠,Pass,no,no,no,no,110,5
216014, n A92.AKQ963.64.J7 ,s 74.J52.QJT83.AKQ ,430,3,6,2,2,14,2,3,5,3,13,3N,Pass,no,no,no,no,430,0
216015, n A3.JT.AKQ98.JT97 ,s 74.KQ642.6532.A6 ,130,2,2,5,4,15,2,5,4,2,9,1♥,Pass,no,no,no,no,140,0
216016, n Q62.A75.985.AJT5 ,s T3.2.AKQT7.KQ873 ,100,3,3,3,4,11,2,1,5,5,14,3N,Pass,no,no,no,no,400,7
216017, n Q85.K974.A6.KJ98 ,s JT2.AJ863.K932.A ,450,3,4,2,4,13,3,5,4,1,13,3N,4♥,Pass,no,no,no,450,0
216018, n KQ.A64.Q62.A9642 ,s T83.K7.AJ53.T875 ,400,2,3,3,5,15,3,2,4,4,8,3N,Pass,no,no,no,no,400,0
216019, n Q98.QT5.AQ73.J76 ,s KJ62.A732.K5.AQ3 ,460,3,3,4,3,11,4,4,2,3,17,3N,Pass,no,no,no,no,460,0
216020, n AJ4.JT76.K76.AJ8 ,s Q5.Q.AQJ53.K7652 ,920,3,4,3,3,14,2,1,5,5,14,3N,6♣,Pass,no,no,no,920,0
216021, n .AQ2.AQ6542.AQ87 ,s Q976.KJ83.KJ9.65 ,980,0,3,6,4,18,4,4,3,2,10,3N,6♥,Pass,no,no,no,980,0
216022, n KQJ7.Q8764.A.A73 ,s AT32.K2.J9.98642 ,420,4,5,1,3,16,4,2,2,5,8,1♠,4♠,Pass,no,no,no,420,0
216023, n Q6.KQ3.AK74.Q874 ,s AKJ2.84.865.KJ52 ,460,2,3,4,4,16,4,2,3,4,12,3N,Pass,no,no,no,no,460,0
216024, n AQJ.T.QJT7.AQ762 ,s KT2.KQJ765.92.K3 ,430,3,1,4,5,16,3,6,2,2,12,3N,Pass,no,no,no,no,430,0
216025, n AK4.J98.JT74.K72 ,s QT2.AKQT76.K.A93 ,980,3,3,4,3,12,3,6,1,3,18,3N,6♥,Pass,no,no,no,980,0
216026, n T.AQT.AQ7654.JT3 ,s A9752.943.K.AK42 ,430,1,3,6,3,13,5,3,1,4,14,3N,Pass,no,no,no,no,430,0
216027, n J6.AKT652..AT932 ,s KT75.J.AQ72.8754 ,140,2,6,0,5,12,4,1,4,4,10,1♥,Pass,no,no,no,no,140,0
216028, n T96.AKQ76.84.QJT ,s KQJ3.J943.AQ653. ,980,3,5,2,3,12,4,4,5,0,13,3N,6♥,Pass,no,no,no,980,0
216029, n AKQJ6.8.A87.AT95 ,s T9.AKJ93.T962.K7 ,1510,5,1,3,4,18,2,5,4,2,11,1♠,4♠,7♠,Pass,no,no,1510,0
216030, n AKT63.K982.AJ9.5 ,s 752.A75.QT852.87 ,-100,5,4,3,1,15,3,3,5,2,6,1♥,Pass,no,no,no,no,80,5
216031, n KQ85.7.QJ9.AKQ54 ,s A643.8432.3.T962 ,100,4,1,3,5,17,4,4,1,4,4,1♠,4♠,Pass,no,no,no,420,8
216032, n AT.AK63.K32.T974 ,s KQ73.Q75.T95.Q53 ,90,2,4,3,4,14,4,3,3,3,9,1♥,Pass,no,no,no,no,80,0
216033, n K97.A753.A3.6542 ,s AJT32.42.Q6.AKT9 ,420,3,4,2,4,11,5,2,2,4,14,3N,4♠,Pass,no,no,no,420,0
216034, n AKJ.AJT65.AJ82.2 ,s 954.K84.9763.A85 ,980,3,5,4,1,18,3,3,4,3,7,3N,6♥,Pass,no,no,no,980,0
216035, n KQ74.JT86.72.AQ9 ,s AT8.9.A963.KJT75 ,450,4,4,2,3,12,3,1,4,5,12,3N,4♠,Pass,no,no,no,450,0
216036, n K763.52.AQ95.K83 ,s A.KQ9843.J7.AT64 ,420,4,2,4,3,12,1,6,2,4,14,3N,4♥,Pass,no,no,no,420,0
216037, n AT65.AT.AKQ532.7 ,s Q73.KQJ85.J6.QT5 ,980,4,2,6,1,17,3,5,2,3,11,3N,6♥,Pass,no,no,no,980,0
216038, n J52.K72.AQT97.AQ ,s A8.AJ543.5.KJ862 ,1520,3,3,5,2,16,2,5,1,5,13,3N,7♣,7N,Pass,no,no,1520,0
216039, n QT72.K53.JT8.KQ7 ,s AJ8.Q92.K53.JT54 ,140,4,3,3,3,11,3,3,3,4,11,1♠,Pass,no,no,no,no,140,0
216040, n K96.AQ73.J.KJ832 ,s AQ.KJ85.K763.T54 ,450,3,4,1,5,14,2,4,4,3,13,3N,4♥,Pass,no,no,no,450,0
216041, n 3.K98753.AQ.AKQ7 ,s KT9854.AT.973.T2 ,420,1,6,2,4,18,6,2,3,2,7,1♥,Pass,no,no,no,no,140,-7
216042, n A92.QT.987.KQ874 ,s QT.K9842.Q.AJ652 ,300,3,2,3,5,11,2,5,1,5,12,2♣,5♣,Pass,no,no,no,400,3
216043, n AJ.AK5.J7654.AJ3 ,s KT2.J9642.3.9862 ,140,2,3,5,3,18,3,5,1,4,4,1♥,Pass,no,no,no,no,140,0
216044, n 85.AQ964.KQ62.J3 ,s A42.K82.T93.A987 ,100,2,5,4,2,12,3,3,3,4,11,1♥,Pass,no,no,no,no,140,1
216045, n AK.AQT52.J854.72 ,s T9865.73.AT.AKJT ,430,2,5,4,2,14,5,2,2,4,12,3N,Pass,no,no,no,no,430,0
216046, n AT.J82.AJ3.QJ842 ,s K8.KQ3.92.AKT953 ,460,2,3,3,5,13,2,3,2,6,15,3N,Pass,no,no,no,no,460,0
216047, n AKT8.QJ82.64.K72 ,s 73.AT7.AQT832.93 ,120,4,4,2,3,13,2,3,6,2,10,1♦,Pass,no,no,no,no,110,0
216048, n T65.KJ9.KQ92.Q83 ,s AKJ.87.8543.KT95 ,100,3,3,4,3,11,3,2,4,4,11,3N,Pass,no,no,no,no,400,7
216049, n KT43.93.QJ53.KQ3 ,s AQ2.KQT42.K8.AT7 ,460,4,2,4,3,11,3,5,2,3,18,3N,Pass,no,no,no,no,460,0
216050, n 7.AK7.AQ73.KJ876 ,s QT964.9.T8542.Q3 ,400,1,3,4,5,17,5,1,5,2,4,1♣,1♦,Pass,no,no,no,130,-7
216051, n K98.AQJ8.Q7.AK95 ,s J74.643.AJ542.Q6 ,460,3,4,2,4,19,3,3,5,2,8,3N,Pass,no,no,no,no,460,0
216052, n A84.A92.K852.A62 ,s 2.KT7.J963.KT543 ,130,3,3,4,3,15,1,3,4,5,7,1♦,Pass,no,no,no,no,130,0
216053, n 874.5.AQJ85.AJ84 ,s AJ6532.KQJT2..76 ,450,3,1,5,4,12,6,5,0,2,11,3N,4♠,Pass,no,no,no,450,0
216054, n QT2.AQ82.AT43.65 ,s K873.J976.Q52.A8 ,100,3,4,4,2,12,4,4,3,2,10,1♥,Pass,no,no,no,no,140,1
216055, n A7542.AJ4.JT6.QT ,s J8.QT82.3.AKJ973 ,100,5,3,3,2,12,2,4,1,6,11,1♥,Pass,no,no,no,no,140,1
216056, n KJ7.K32.K.A97642 ,s A92.AQ74.Q975.K8 ,980,3,3,1,6,14,3,4,4,2,15,3N,6♥,Pass,no,no,no,980,0
216057, n KQ3.A542.8742.K4 ,s AT2.Q986.KQJ.T63 ,140,3,4,4,2,12,3,4,3,3,12,1♥,Pass,no,no,no,no,140,0
216058, n Q6.AQ8.QJ84.AJT4 ,s JT2.T632.K.Q9865 ,400,2,3,4,4,16,3,4,1,5,6,3N,Pass,no,no,no,no,400,0
216059, n KQJ972.AJ62.5.76 ,s A54.74.AQ432.K32 ,450,6,4,1,2,11,3,2,5,3,13,3N,4♠,Pass,no,no,no,450,0
216060, n AQJT4.62.KJ74.T8 ,s K83.AKJ4.86.AQ43 ,450,5,2,4,2,11,3,4,2,4,17,3N,4♠,Pass,no,no,no,450,0
216061, n AQJ64.876.J4.QJ3 ,s T872.A92.K3.A542 ,300,5,3,2,3,11,4,3,2,4,11,3N,Pass,no,no,no,no,400,3
216062, n K873.KJ9.J952.K3 ,s T4.AQ84.K3.JT974 ,110,4,3,4,2,11,2,4,2,5,10,1♥,Pass,no,no,no,no,110,0
216063, n KT3.AQJT65.4.J72 ,s A84.K87.K.AKT983 ,980,3,6,1,3,11,3,3,1,6,17,3N,6♥,Pass,no,no,no,980,0
216064, n A5432.K864.KJ.K4 ,s KJ.JT3.AQ82.A876 ,460,5,4,2,2,14,2,3,4,4,15,3N,Pass,no,no,no,no,460,0
216065, n A2.J93.64.AK5432 ,s K65.K5.Q98.QJT97 ,100,2,3,2,6,12,3,2,3,5,11,1N,Pass,no,no,no,no,120,1
216066, n Q.KQJT52.Q.KQT32 ,s 5.A.AT98543.A875 ,980,1,6,1,5,15,1,1,7,4,12,3N,6♥,Pass,no,no,no,980,0
216067, n AT4.K972.AQ63.53 ,s Q7.AQT63.KJ.AQJ4 ,990,3,4,4,2,13,2,5,2,4,19,3N,6N,Pass,no,no,no,990,0
216068, n AQJT752.6.A84.52 ,s 96.Q874.QJ9.AKT6 ,980,7,1,3,2,11,2,4,3,4,12,3N,6♠,Pass,no,no,no,980,0
216069, n 54.AKJ43.AK2.Q76 ,s T6.Q96.Q876.AKT2 ,450,2,5,3,3,17,2,3,4,4,11,1♥,4♥,Pass,no,no,no,450,0
216070, n Q43.K64.KQT73.AJ ,s 765.AJ82.986.K65 ,300,3,3,5,2,15,3,4,3,3,8,3N,Pass,no,no,no,no,400,3
216071, n A8654.T3.KQJ2.K5 ,s JT97.KJ85.AT7.42 ,420,5,2,4,2,13,4,4,3,2,9,1♠,4♠,Pass,no,no,no,420,0
216072, n Q98.AKQ52.K.AKJ5 ,s AT76.764.98.Q943 ,100,3,5,1,4,22,4,3,2,4,6,1♥,4♥,Pass,no,no,no,420,8
216073, n A86.Q82.QT86.AK9 ,s J7.KJ763.95.J643 ,-420,3,3,4,3,15,2,5,2,4,6,1♥,Pass,no,no,no,no,110,11
216074, n .KQT7.KJT96.A876 ,s KJ53.A986.7.KJ43 ,450,0,4,5,4,13,4,4,1,4,12,3N,4♥,Pass,no,no,no,450,0
216075, n J872.A9.KQT97.K2 ,s QT543.KJ32.2.AJ6 ,420,4,2,5,2,13,5,4,1,3,11,1♠,4♠,Pass,no,no,no,420,0
216076, n AKJT3.Q4.K964.94 ,s Q62.J9865.AT3.Q5 ,-100,5,2,4,2,13,3,5,3,2,9,1♠,Pass,no,no,no,no,110,5
216077, n 4.AK975.972.A643 ,s .J843.AQJT83.KT8 ,500,1,5,3,4,11,0,4,6,3,11,3N,4♥,7♥,Pass,no,no,1510,14
216078, n AKJ9.7.AJ98742.4 ,s T54.J9532.K6.A76 ,920,4,1,7,1,13,3,5,2,3,8,3N,6♦,Pass,no,no,no,920,0
216079, n K643.A7.AQJ74.Q6 ,s 85.QJT83.8.KT982 ,110,4,2,5,2,16,2,5,1,5,6,1♥,Pass,no,no,no,no,110,0
216080, n Q.QT8.AJ62.QT975 ,s AK63.A9642.QT43. ,450,1,3,4,5,11,4,5,4,0,13,3N,4♥,Pass,no,no,no,450,0
216081, n AKQT72.97.Q6.AK7 ,s 8.KQ854.JT9854.T ,400,6,2,2,3,18,1,5,6,1,6,3N,Pass,no,no,no,no,400,0
216082, n AT42.Q96.AKT3.84 ,s KJ73.J732.J4.KJ3 ,400,4,3,4,2,13,4,4,2,3,10,3N,Pass,no,no,no,no,400,0
216083, n T97.AQ7.AQJ654.7 ,s KJ83.K642.7.K962 ,140,3,3,6,1,13,4,4,1,4,10,1♥,Pass,no,no,no,no,140,0
216084, n K76.AJ93.983.AQ9 ,s J8.K8654.KT76.75 ,-140,3,4,3,3,14,2,5,4,2,7,1♥,Pass,no,no,no,no,110,6
216085, n Q.AQT974.KJ98.K5 ,s AKT96.85.Q742.63 ,140,1,6,4,2,15,5,2,4,2,9,1♥,Pass,no,no,no,no,140,0
216086, n 7.AKQT6.QT3.KQJ6 ,s KJ985.J2.J5.AT84 ,430,1,5,3,4,17,5,2,2,4,10,3N,Pass,no,no,no,no,430,0
216087, n KJT4.53.AT7.AK54 ,s Q9875.KQ8.K964.J ,430,4,2,3,4,15,5,3,4,1,11,3N,Pass,no,no,no,no,430,0
216088, n AT92.7.AT974.AQ8 ,s 743.KJ6532.QJ2.K ,400,4,1,5,3,14,3,6,3,1,10,3N,Pass,no,no,no,no,400,0
216089, n Q76.A82.AK762.76 ,s K4.QJ93.Q.AJT532 ,430,3,3,5,2,13,2,4,1,6,13,1♥,4♥,Pass,no,no,no,420,0
216090, n K5.A6.AKT9543.K8 ,s A82.T8542.86.Q92 ,460,2,2,7,2,17,3,5,2,3,6,3N,Pass,no,no,no,no,460,0
216091, n AK87.AKJ2.QT4.JT ,s Q3.9.AJ7532.AK95 ,1520,4,4,3,2,18,2,1,6,4,14,4♣,7♦,7N,Pass,no,no,1520,0
216092, n AKQ.J94.Q52.QJ54 ,s 9764.AT7.AJ98.86 ,400,3,3,3,4,15,4,3,4,2,9,3N,Pass,no,no,no,no,400,0
216093, n 63.AQ975.A8.K962 ,s J97.64.Q94.AJT53 ,130,2,5,2,4,13,3,2,3,5,8,1♣,Pass,no,no,no,no,130,0
216094, n AJT.Q753.AQ.K982 ,s K74.JT8.K542.T73 ,120,3,4,2,4,16,3,3,4,3,7,1N,Pass,no,no,no,no,120,0
216095, n AJ75.K3.KJ93.JT5 ,s KQ8642.AQ.A.Q874 ,430,4,2,4,3,13,6,2,1,4,17,3N,Pass,no,no,no,no,430,0
216096, n A976.A84.AQT5.A4 ,s T5.QJT95.62.KJ76 ,450,4,3,4,2,18,2,5,2,4,7,3N,4♥,Pass,no,no,no,450,0
216097, n K8.Q63.AKQT74.A9 ,s QT632.J97.6.8742 ,-90,2,3,6,2,18,5,3,1,4,3,1♦,Pass,no,no,no,no,70,4
216098, n J3.K94.AK93.AQT5 ,s A9864.J863.754.6 ,110,2,3,4,4,17,5,4,3,1,5,1♥,Pass,no,no,no,no,110,0
216099, n K972.A72.4.AT832 ,s AQJT.KQ.JT952.K4 ,980,4,3,1,5,11,4,2,5,2,16,3N,6♠,Pass,no,no,no,980,0
216100, n AQJ5.K93.Q4.A732 ,s K98.QJ8642.A2.K8 ,990,4,3,2,4,16,3,6,2,2,13,1♥,2♦,2♥,5♥,Pass,no,450,-11
216101, n Q32.AK7.KT4.AT93 ,s 7.T9842.AQ732.75 ,300,3,3,3,4,16,1,5,5,2,6,3N,Pass,no,no,no,no,400,3
216102, n KT5.T43.AK85.KQJ ,s AQ7.J965.Q2.6532 ,120,3,3,4,3,16,3,4,2,4,9,1♥,Pass,no,no,no,no,110,0
216103, n AT52.Q3.AK.T6532 ,s Q974.KJT854.Q52. ,140,4,2,2,5,13,4,6,3,0,8,1♥,Pass,no,no,no,no,140,0
216104, n A.AK5.AQJT53.962 ,s Q6532.J94.872.Q7 ,110,1,3,6,3,18,5,3,3,2,5,1♦,Pass,no,no,no,no,110,0
216105, n AK7.AK53.K752.85 ,s 963.Q.8643.AT642 ,130,3,4,4,2,17,3,1,4,5,6,1♦,Pass,no,no,no,no,130,0
216106, n AQ64.K.A62.QT763 ,s JT.94.KQ9754.K94 ,400,4,1,3,5,15,2,2,6,3,9,3N,5♣,Pass,no,no,no,400,0
216107, n 5.AKQT65.Q8.AJ64 ,s JT43.J2.K9762.Q5 ,400,1,6,2,4,16,4,2,5,2,7,1♥,Pass,no,no,no,no,140,-6
216108, n Q.63.AKQ96.AKQ84 ,s A642.AQ4.852.632 ,430,1,2,5,5,20,4,3,3,3,10,3N,Pass,no,no,no,no,430,0
216109, n AJT8.Q876.AJ4.JT ,s K5.T95.QT7.A9862 ,420,4,4,3,2,13,2,3,3,5,9,3N,4♥,Pass,no,no,no,420,0
216110, n 8.AK3.QJ932.A965 ,s AJ942.4.K65.KQ42 ,920,1,3,5,4,14,5,1,3,4,13,3N,6♦,Pass,no,no,no,920,0
216111, n KT96.KJ9.A98.865 ,s AJ7.AQ.KQ62.KQT9 ,990,4,3,3,3,11,3,2,4,4,21,3N,6N,Pass,no,no,no,990,0
216112, n AK5.Q965.KJ.KQJ3 ,s JT82.K.Q975.AT84 ,430,3,4,2,4,19,4,1,4,4,10,3N,Pass,no,no,no,no,430,0
216113, n Q5.AT.KQT842.864 ,s KJ73.J97.A97.J53 ,-100,2,2,6,3,11,4,3,3,3,10,2♦,Pass,no,no,no,no,90,5
216114, n 73.A98.AQ52.J943 ,s QJ54.J73.T8.AK76 ,90,2,3,4,4,11,4,3,2,4,11,1♣,Pass,no,no,no,no,90,0
216115, n A7.63.QJT86.AKT5 ,s 986.AQJ4.75.QJ83 ,110,2,2,5,4,14,3,4,2,4,10,1♣,Pass,no,no,no,no,110,0
216116, n T963.AKJ95.KT.A8 ,s KQJ742..A9864.J2 ,980,4,5,2,2,15,6,0,5,2,11,3N,6♠,Pass,no,no,no,980,0
216117, n 542.KQJ92.KQ9.A6 ,s AQJ.864.JT52.K93 ,450,3,5,3,2,15,3,3,4,3,11,3N,4♥,Pass,no,no,no,450,0
216118, n AKJ7.AJ82.6.8765 ,s T6.7643.AKQ42.32 ,140,4,4,1,4,13,2,4,5,2,9,1♥,Pass,no,no,no,no,140,0
216119, n J3.AQ4.K4.AQ9753 ,s 87.K82.AJ875.J62 ,100,2,3,2,6,16,2,3,5,3,9,1♣,Pass,no,no,no,no,130,1
216120, n 9.AK92.AT5.T7643 ,s J643.86.84.AKQJ2 ,400,1,4,3,5,11,4,2,2,5,11,3N,5♣,Pass,no,no,no,400,0
216121, n K2.A95.AQJ4.AK87 ,s AQ95.632.875.QT4 ,990,2,3,4,4,21,4,3,3,3,8,3N,6N,Pass,no,no,no,990,0
216122, n 9.AJ7.AJT4.Q9875 ,s Q3.KQ964.96.AJ43 ,100,1,3,4,5,12,2,5,2,4,12,1♥,4♥,Pass,no,no,no,420,8
216123, n AJT8.QJ9.Q742.A2 ,s 632.AT52.AK.KQ53 ,460,4,3,4,2,14,3,4,2,4,16,3N,Pass,no,no,no,no,460,0
216124, n Q9.JT9652.AJ84.K ,s K63.Q73.K5.AJ762 ,420,2,6,4,1,11,3,3,2,5,13,1♥,4♥,Pass,no,no,no,420,0
216125, n A73.Q65.AKQJ9.83 ,s 52.K8732.76.KJT2 ,450,3,3,5,2,16,2,5,2,4,7,1♥,4♥,Pass,no,no,no,450,0
216126, n KJ764.KJ9.T.AT95 ,s A52.Q4.Q643.KQ42 ,450,5,3,1,4,12,3,2,4,4,13,3N,4♠,Pass,no,no,no,450,0
216127, n A2.A9853.863.KJ5 ,s QT863.J.KJ75.Q84 ,-90,2,5,3,3,12,5,1,4,3,9,1♠,Pass,no,no,no,no,80,5
216128, n AQ965.Q543.J63.Q ,s 7.A.KQT85.AK9763 ,920,5,4,3,1,11,1,1,5,6,16,3N,6♣,Pass,no,no,no,920,0
216129, n T42.KQ97.A3.QJ43 ,s AK875.A2.JT65.T7 ,400,3,4,2,4,12,5,2,4,2,12,1♠,Pass,no,no,no,no,110,-7
216130, n A753.763.QJ9.A93 ,s Q64.QT5.AK76.875 ,-90,4,3,3,3,11,3,3,4,3,11,1♦,Pass,no,no,no,no,70,4
216131, n K6.Q4.AKQJ963.K2 ,s A8.J9873.8752.T3 ,100,2,2,7,2,18,2,5,4,2,5,3N,Pass,no,no,no,no,430,8
216132, n K53.Q.J984.KQT75 ,s AQ74.AKT72.3.A98 ,980,3,1,4,5,11,4,5,1,3,17,3N,6♥,Pass,no,no,no,980,0
216133, n 5.AQT32.AT92.K73 ,s KQT6.6.K63.AQ842 ,990,1,5,4,3,13,4,1,3,5,14,3N,6N,Pass,no,no,no,990,0
216134, n 642.AJ95.KT7.KQ6 ,s K75.KT43.Q42.952 ,140,3,4,3,3,13,3,4,3,3,8,1♥,Pass,no,no,no,no,140,0
