north,east,south,west,sn,hn,dn,cn,pn,ln,ctn,ss,hs,ds,cs,ps,ls,cts,tcn,tdn,thn,tsn,tnn,tce,tde,the,tse,tne,tcs,tds,ths,tss,tns,tcw,tdw,thw,tsw,tnw,parNS,parEW
 n AQ864.K8.A764.QT ,e K52.J9743.JT5.75 ,s 97.AT2.Q82.K6432 ,w JT3.Q65.K93.AJ98 ,5,2,4,2,15,600,5,2,3,3,5,9,850,3,8,8,6,8,7,4,4,6,4,5,9,8,6,8,8,4,4,7,5,5,120,-120
 n AKQT8.Q654.Q.T93 ,e J65.KJ.J9.Q87652 ,s 72.A87.AT6543.K4 ,w 943.T932.K872.AJ ,5,4,1,3,13,650,3,2,3,6,2,11,700,5,6,8,8,8,7,7,3,4,3,4,6,9,9,8,8,7,3,4,3,4,140,-140
 n KQT8543.8.AT.AK2 ,e 9.KQT642.K865.73 ,s 6.A3.J9432.QJ865 ,w AJ72.J975.Q7.T94 ,7,1,2,3,16,400,6,1,2,5,5,8,700,2,11,9,4,10,7,1,3,9,2,3,11,9,4,10,7,1,3,9,2,4,300,-300
 n AKQT6.A852.3.AJ4 ,e 975.KT3.J65.K965 ,s .J974.AQT84.Q732 ,w J8432.Q6.K972.T8 ,5,4,1,3,18,500,7,0,4,5,4,9,650,2,10,9,11,9,9,3,4,2,4,4,10,9,11,9,9,3,3,2,4,4,450,-450
 n Q8543.6.QJ763.AK ,e 9762.T532.A54.Q2 ,s KT.AK84.T92.J743 ,w AJ.QJ97.K8.T9865 ,5,1,5,2,12,550,3,2,4,3,4,11,800,4,6,9,6,8,7,7,4,7,5,5,6,9,6,8,7,7,4,7,5,5,110,-110
 n KJT43.2.AQ7.K853 ,e 9865.AJ54.9543.2 ,s Q.QT9863.J2.AT74 ,w A72.K7.KT86.QJ96 ,5,1,3,4,13,550,4,1,6,2,4,9,750,2,9,6,8,8,8,4,6,5,5,4,9,6,8,8,8,4,6,5,5,4,120,-120
 n AKT953.74.A.QJ94 ,e 864.QJ65.84.KT75 ,s 7.AKT9832.J93.86 ,w QJ2..KQT7652.A32 ,6,2,1,4,14,500,5,1,7,3,2,8,700,3,7,5,10,8,6,5,8,2,3,4,7,5,10,9,6,5,8,2,3,4,420,-420
 n AKT752.T9.A7.KJ3 ,e J3.542.KJ3.T9875 ,s 84.AKQ76.Q952.42 ,w Q96.J83.T864.AQ6 ,6,2,2,3,15,600,6,2,5,4,2,11,650,3,9,10,12,11,11,4,3,1,2,2,9,9,11,11,10,4,3,1,2,2,980,-980
 n AQ962.K742.K5.T9 ,e 8754.J5.QJ84.Q83 ,s J3.63.A63.AJ7542 ,w KT.AQT98.T972.K6 ,5,4,2,2,12,600,4,2,2,3,6,10,800,4,11,6,7,10,8,2,7,5,3,2,11,6,7,10,8,2,7,5,3,3,420,-420
 n A9764.KQ52.KJ.J9 ,e K8.J873.Q9.AKT83 ,s J.AT96.A876542.6 ,w QT532.4.T3.Q7542 ,5,4,2,2,14,600,4,1,4,7,1,9,600,4,4,12,12,7,8,8,1,0,6,1,4,12,12,7,8,8,1,0,6,1,980,-980
 n AQT87654.AK.KT8. ,e K93.JT87.AJ6.T98 ,s J.Q9.Q754.AQ7653 ,w 2.65432.932.KJ42 ,8,2,3,0,16,300,6,1,2,4,6,11,650,2,9,9,6,11,9,4,2,6,2,3,9,9,6,11,9,4,1,6,2,3,450,-450
 n AJ754.T.KQ53.Q54 ,e KQ6.A76542.AT97. ,s 32.QJ9.84.AJ8762 ,w T98.K83.J62.KT93 ,5,1,4,3,12,650,3,2,3,2,6,8,800,2,8,5,3,7,5,5,8,10,6,8,8,5,3,6,5,5,8,10,6,8,-420,420
 n AK832.A5.Q632.74 ,e .KQ832.KJ9874.J2 ,s 9.JT974.T.AKQT83 ,w QJT7654.6.A5.965 ,5,2,4,2,13,650,5,1,5,1,6,10,500,3,9,5,8,7,9,2,8,5,6,4,9,5,8,7,9,2,8,5,6,4,300,-300
 n KJT85.4.AJ876.A7 ,e A7643.T.KT93.J82 ,s 2.AQ876532.2.KT9 ,w Q9.KJ9.Q54.Q6543 ,5,1,5,2,13,550,5,1,8,1,3,9,500,3,6,8,10,8,7,6,5,3,4,6,6,8,10,8,7,6,5,3,4,6,420,-420
 n AQ873.A8.A92.T54 ,e K952.KQ3.864.AK8 ,s T.T9752.KQJ3.QJ7 ,w J64.J64.T75.9632 ,5,2,3,3,14,700,6,1,5,4,3,9,700,1,7,10,9,8,8,5,3,4,5,5,7,10,9,8,8,5,3,4,5,5,140,-140
 n AKQT843.J6.76.KQ ,e J72.AK9873.Q3.72 ,s 5.Q4.AT9842.AT53 ,w 96.T52.KJ5.J9864 ,7,2,2,2,15,500,4,1,2,6,4,10,700,4,7,9,5,10,7,5,2,7,2,2,7,9,5,10,7,5,2,7,2,2,420,-420
 n AKT87653.2.8.KQJ ,e 94.AQ43.AQT72.T7 ,s Q2.75.K9654.A862 ,w J.KJT986.J3.9543 ,8,1,1,3,13,400,4,2,2,5,4,9,800,3,8,6,4,11,6,1,7,9,2,1,8,6,4,11,6,1,7,9,2,1,450,-450
 n KQ762.3.Q543.AJT ,e A4.KQT94.JT6.KQ8 ,s 83.AJ65.A87.7632 ,w JT95.872.K92.954 ,5,1,4,3,12,600,3,2,4,3,4,9,900,4,8,8,7,8,7,5,5,6,5,5,8,8,6,8,7,5,5,6,5,6,110,-110
 n AKT985.J9.75.KJ5 ,e J2.T52.K83.Q9732 ,s 74.A8743.Q9.A864 ,w Q63.KQ6.AJT642.T ,6,2,2,3,12,700,4,2,5,2,4,10,800,4,8,4,8,9,5,5,9,4,4,7,7,4,8,9,5,5,9,4,4,7,100,-100
 n QJT86.Q9..AQJ843 ,e A972.T62.AJ9.KT2 ,s 54.KJ.KQT865.976 ,w K3.A87543.7432.5 ,5,2,0,6,12,450,2,2,2,6,3,9,700,2,9,6,3,7,4,4,7,9,5,7,9,6,3,7,4,4,7,10,6,7,-300,300
 n QJ854.AT2.QT3.AJ ,e 96.J543.J742.742 ,s 3.Q9876.K5.KQ863 ,w AKT72.K.A986.T95 ,5,3,3,2,14,750,4,1,5,2,5,10,550,2,10,7,11,8,10,2,6,2,5,3,10,7,11,8,10,2,6,2,5,3,450,-450
 n K8532.AQ86.K.932 ,e Q964.KT43.6.AJT6 ,s AT.752.AQJ874.84 ,w J7.J9.T9532.KQ75 ,5,4,1,3,12,650,4,2,3,6,2,11,650,4,4,8,7,7,7,9,4,6,6,6,4,8,7,7,7,9,4,6,6,6,-100,100
 n AKQJT9.J4.K863.4 ,e 765.Q975.A9.A752 ,s 8.AKT2.Q42.QT863 ,w 432.863.JT75.KJ9 ,6,2,4,1,14,500,4,1,4,3,5,11,700,3,8,10,8,11,9,5,3,4,2,4,8,10,8,11,9,5,3,4,2,4,450,-450
 n AQ743.AKQ85.A6.9 ,e J5.2.KQ98543.KT7 ,s K8.JT74.T.AQJ642 ,w T962.963.J72.853 ,5,5,2,1,19,300,7,2,4,1,6,11,550,3,12,7,13,12,11,1,6,0,1,1,12,7,13,12,11,1,6,0,1,1,1510,-1510
 n AT65432.AQ4.A94. ,e K8.987.3.AKT8652 ,s Q9.JT53.KQ8765.9 ,w J7.K62.JT2.QJ743 ,7,3,3,0,14,500,6,2,4,6,1,8,700,1,5,12,11,12,6,8,1,2,1,2,5,12,11,12,6,8,1,2,1,2,980,-980
 n AQ764.A74.Q832.2 ,e J832.J62.AK754.6 ,s 9.KT.JT9.AQJT953 ,w KT5.Q9853.6.K874 ,5,3,4,1,12,650,4,1,2,3,7,11,550,3,9,7,6,7,10,3,4,7,4,3,9,7,6,7,10,3,4,7,5,3,430,-430
 n AKQ764.KJ2.974.A ,e J95.T9764.3.Q653 ,s 3.3.AKQJ865.T974 ,w T82.AQ85.T2.KJ82 ,6,3,3,1,17,500,6,1,1,7,4,10,500,3,7,12,7,12,12,6,0,6,0,0,7,12,7,12,12,6,0,6,0,0,990,-990
 n JT543.AT.AKJ8.A5 ,e Q6.9543.9642.842 ,s K8.Q872.5.QJT963 ,w A972.KJ6.QT73.K7 ,5,2,4,2,17,550,7,2,4,1,6,8,650,1,11,8,9,9,9,1,4,3,3,4,12,9,10,10,9,1,5,3,3,4,920,-920
 n AT8652.A984.Q5.A ,e 974.KQT75.A32.84 ,s K.J632.9.KJ97532 ,w QJ3..KJT8764.QT6 ,6,4,2,1,14,600,6,1,4,1,7,8,650,2,9,4,8,8,5,1,8,3,4,8,9,4,8,8,5,1,8,3,4,8,100,-100
 n KT975.KQ.A83.Q92 ,e A63.JT643.Q.A875 ,s 8.A872.KJT542.T4 ,w QJ42.95.976.KJ63 ,5,2,3,3,14,750,4,1,4,6,2,8,650,3,5,10,7,7,9,7,3,6,5,4,5,10,7,7,9,7,3,6,5,4,400,-400
 n AK862.Q82.Q53.AT ,e T74.J76.A62.K652 ,s J9.KT93.KJ4.QJ97 ,w Q53.A54.T987.843 ,5,3,3,2,15,700,5,2,4,3,4,11,800,2,10,9,10,9,10,3,4,3,4,3,10,9,10,9,10,3,4,3,4,3,430,-430
 n A8764.KQ86.K3.K6 ,e QJ32.J5.98742.82 ,s .T7.AQT5.QJT9543 ,w KT95.A9432.J6.A7 ,5,4,2,2,15,500,5,0,2,4,7,9,500,2,11,7,7,6,8,2,5,5,6,2,11,7,7,6,8,2,5,4,6,2,400,-400
 n AKQ986.J3.K6.J94 ,e JT52.KQ8.AT54.72 ,s .5.QJ98732.AKT53 ,w 743.AT97642..Q86 ,6,2,2,3,14,600,4,0,1,7,5,10,400,3,9,10,3,7,4,3,3,9,6,9,10,10,4,7,4,2,2,8,4,8,100,-100
 n AT8542.T.AK73.J7 ,e KQJ76.A983.QJ.K8 ,s 3.KJ764.54.A9653 ,w 9.Q52.T9862.QT42 ,6,1,4,2,12,600,5,1,5,2,5,8,700,3,7,5,7,8,6,5,6,6,5,7,7,5,7,7,6,5,6,6,5,7,100,-100
 n QJ8732.A632.K.K8 ,e T65.QJ4.J64.AQT9 ,s A4.T87.AT72.6542 ,w K9.K95.Q9853.J73 ,6,4,1,2,13,550,4,2,3,4,4,8,900,4,5,4,7,8,6,8,9,6,4,6,5,4,7,8,6,8,9,6,4,6,-100,100
 n AKT73.QT.Q2.KJT7 ,e 64.J863.JT763.Q5 ,s .K9742.K94.A9863 ,w QJ9852.A5.A85.42 ,5,2,2,4,15,650,4,0,5,3,5,10,600,4,11,8,10,8,10,2,5,3,5,3,11,8,10,8,10,2,5,3,5,3,430,-430
 n KQ985.A9742.T7.K ,e J6.K6.KQ864.AT74 ,s 72.Q8.A952.QJ632 ,w AT43.JT53.J3.985 ,5,5,2,1,12,550,4,2,2,4,5,9,800,2,6,6,7,7,6,6,7,5,5,6,6,6,7,7,6,6,7,5,5,6,80,-80
 n AKJ97532.2.K3.KT ,e 84.AKQT876..A853 ,s QT.J.AJT9842.Q64 ,w 6.9543.Q765.J972 ,8,1,2,2,14,350,5,2,1,7,3,10,700,2,3,9,3,11,5,9,3,10,2,2,3,9,3,10,5,9,3,10,2,3,300,-300
 n AQT43.7.KT65.AQ4 ,e KJ872.Q54.742.K7 ,s 95.AKJ6.8.JT9863 ,w 6.T9832.AQJ93.52 ,5,1,4,3,15,500,5,2,4,1,6,9,650,3,11,7,7,9,10,2,6,6,4,3,11,7,7,9,9,2,6,6,4,3,430,-430
 n AKJ987.A6.K64.T8 ,e 642.873.AQJ93.32 ,s T.KQ5.T82.KJ7654 ,w Q53.JT942.75.AQ9 ,6,2,3,2,15,550,6,1,3,3,6,9,700,2,8,6,5,8,6,3,6,7,4,4,8,6,5,8,6,3,6,7,4,4,110,-110
 n KQJT763.AQ.83.97 ,e 2.K8653.J9652.82 ,s 9.JT4.QT74.AK643 ,w A854.972.AK.QJT5 ,7,2,2,2,12,550,3,1,3,4,5,10,750,3,6,6,5,9,7,5,7,8,4,4,6,6,5,9,7,5,7,8,4,4,140,-140
 n JT954.A.AJT863.A ,e Q8632.J72.4.T753 ,s K.K843.Q972.9642 ,w A7.QT965.K5.KQJ8 ,5,1,6,1,14,450,6,1,4,4,4,8,800,2,5,12,5,7,7,8,1,8,5,4,5,12,5,7,7,8,1,8,6,5,800,-800
 n KQ943.KQ3.KT94.T ,e 7.AT5.Q62.AKJ532 ,s AT.J984.A85.Q987 ,w J8652.762.J73.64 ,5,3,4,1,13,500,3,2,4,3,4,11,850,4,8,10,10,9,9,5,3,3,4,4,8,10,10,9,9,5,3,3,4,4,420,-420
 n KQT9864.A.Q53.J5 ,e 75.K94.AKT984.98 ,s A.Q8762.J72.A742 ,w J32.JT53.6.KQT63 ,7,1,3,2,12,550,3,1,5,3,4,11,750,4,6,5,5,9,5,7,6,7,3,4,6,5,5,9,5,7,6,7,3,4,140,-140
 n AQT972.AT2.Q.Q76 ,e 85.54.T764.AJT43 ,s J3.J96.AJ83.K982 ,w K64.KQ873.K952.5 ,6,3,1,3,14,650,4,2,3,4,4,10,900,3,9,6,8,10,10,4,6,5,2,2,9,6,8,10,10,4,6,5,3,2,430,-430
 n AK754.986.K3.AQ6 ,e J862.Q5.AJ92.KT7 ,s .AKJT74.T765.J54 ,w QT93.32.Q84.9832 ,5,3,2,3,16,600,6,0,6,4,3,9,650,3,8,8,11,8,10,5,5,2,5,3,7,8,11,7,9,4,5,2,5,3,450,-450
 n AQJ53.J8.AQ8732. ,e T8762.Q532.T6.A8 ,s .6.K954.KQ965432 ,w K94.AKT974.J.JT7 ,5,2,6,0,14,350,4,0,1,4,8,8,400,2,10,12,4,6,6,2,0,7,7,6,10,12,4,6,6,2,0,7,7,6,920,-920
 n AJ9876.A32.T3.KT ,e Q42.KJ4.Q987.J64 ,s 3.9876.AJ42.AQ72 ,w KT5.QT5.K65.9853 ,6,3,2,2,12,700,5,1,4,4,4,11,700,4,8,8,10,9,8,5,4,3,4,4,8,9,10,9,8,5,4,3,4,4,420,-420
 n AK9842.JT.A7.QJ6 ,e JT75.97.8543.K85 ,s Q3.K8632.K62.T42 ,w 6.AQ54.QJT9.A973 ,6,2,2,3,15,600,5,2,5,3,3,8,900,2,6,5,8,7,7,7,8,5,5,5,6,5,8,7,7,7,8,5,5,5,100,-100
 n KJ7653.K8.K74.K6 ,e 82.72.A8652.AT97 ,s A4.JT64.T93.QJ54 ,w QT9.AQ953.QJ.832 ,6,2,3,2,13,600,4,2,4,3,4,8,900,2,6,6,7,8,8,6,6,6,4,4,6,6,6,8,8,6,6,6,4,4,120,-120
 n KQ943.JT3.AQ6.75 ,e J65.Q972.J953.K8 ,s 72.A64.T.AQJT432 ,w AT8.K85.K8742.96 ,5,3,3,2,12,700,3,2,3,1,7,11,550,4,11,7,8,10,11,1,5,4,1,1,11,7,9,10,11,1,6,4,3,1,460,-460
 n AKQ863.J8653..KJ ,e T4.QT4.J875.QT52 ,s J5.2.AK942.98643 ,w 972.AK97.QT63.A7 ,6,5,0,2,14,400,4,2,1,5,5,8,700,3,7,7,7,9,8,5,6,6,3,5,7,7,7,9,8,5,6,6,3,5,140,-140
 n AQT742.A64.96.K9 ,e 3.T97.AK82.JT864 ,s 9.KQ532.T74.AQ53 ,w KJ865.J8.QJ53.72 ,6,3,2,2,13,600,5,1,5,3,4,11,600,3,8,7,10,9,9,5,6,2,4,3,8,7,10,9,9,5,6,2,4,3,420,-420
 n KT873.A85.A2.J83 ,e 965.63.9854.Q974 ,s .KJT72.QJ63.KT52 ,w AQJ42.Q94.KT7.A6 ,5,3,2,3,12,800,5,0,5,4,4,10,550,2,9,8,10,8,9,3,5,3,5,4,10,8,10,8,9,4,5,3,5,4,420,-420
 n AQ98753.K.KQ5.K6 ,e J64.64.J96432.T4 ,s T2.J982.A7.AJ852 ,w K.AQT753.T8.Q973 ,7,1,3,2,17,350,5,2,4,2,5,10,800,4,9,7,7,11,10,4,5,6,2,3,9,7,7,11,10,4,5,6,2,3,450,-450
 n AQJT7.J743.J.K42 ,e 86.A.AQT9873.Q83 ,s 92.KQT962.54.AT5 ,w K543.85.K62.J976 ,5,4,1,3,12,650,3,2,6,2,3,9,700,3,7,4,11,9,5,6,9,2,3,8,7,4,11,9,5,6,9,2,4,8,450,-450
 n AKQ8632.A52.97.K ,e J.Q943.Q643.8753 ,s 97.KT8.T852.AQ64 ,w T54.J76.AKJ.JT92 ,7,3,2,1,16,450,6,2,3,4,4,9,800,3,7,8,8,11,10,4,5,5,1,1,7,8,8,11,10,4,5,5,1,1,450,-450
 n KQJ984.A54.AJ.75 ,e A532.T.75.KQJT64 ,s T.K972.QT986.A92 ,w 76.QJ863.K432.83 ,6,3,2,2,15,600,5,1,4,5,3,9,750,3,7,9,8,11,7,6,4,4,2,2,7,9,8,11,7,6,4,4,2,2,450,-450
 n KQT9765.QJ93..AK ,e 83.KT.KQ96.T9876 ,s 2.A64.JT83.QJ532 ,w AJ4.8752.A7542.4 ,7,4,0,2,15,300,4,1,3,4,5,8,800,2,8,6,9,11,8,4,7,3,2,4,8,6,9,11,8,4,7,3,2,4,450,-450
 n AKJ42.Q7.J.AKJT5 ,e 8765.863.87.Q987 ,s Q3.KJ95.AT643.32 ,w T9.AT42.KQ952.64 ,5,2,1,5,19,400,6,2,4,5,2,10,800,3,11,9,9,11,10,2,4,2,2,2,11,9,10,11,10,2,4,3,2,2,450,-450
 n AKQJT82.97.J74.Q ,e 74.T83.Q85.JT865 ,s 9.K64.T63.AK9732 ,w 653.AQJ52.AK92.4 ,7,2,3,1,13,600,3,1,3,3,6,10,700,4,6,4,4,8,4,6,8,9,4,4,6,4,4,8,4,6,8,9,4,4,-100,100
 n AKQT3.K765.KT8.4 ,e 97654.A98.J.AJ73 ,s .32.A96532.KQT98 ,w J82.QJT4.Q74.652 ,5,4,3,1,15,500,5,0,2,6,5,9,500,3,10,11,8,8,9,3,1,5,5,3,9,10,8,8,8,2,1,5,4,3,400,-400
 n AKT64.A8.K962.A4 ,e J953.T42.74.7652 ,s 8.K973.AQJT85.T3 ,w Q72.QJ65.3.KQJ98 ,5,2,4,2,18,500,8,1,4,6,2,10,550,3,8,13,9,10,11,5,0,2,3,2,8,13,9,10,11,5,0,2,3,2,1440,-1440
 n KJT32.Q3.AK96.53 ,e A74.JT976.32.942 ,s 85.K542.QJ875.QJ ,w Q96.A8.T4.AKT876 ,5,2,4,2,13,650,4,2,4,5,2,9,800,1,3,9,6,8,5,8,4,6,4,8,3,9,6,8,5,8,4,7,4,8,100,-100
 n AKQT764.KJ.632.2 ,e J95.AT9876.A8.T3 ,s .53.KJT975.AQJ76 ,w 832.Q42.Q4.K9854 ,7,2,3,1,13,500,4,0,2,6,5,11,400,3,8,11,6,11,9,5,2,7,2,4,8,11,6,11,9,4,1,7,2,2,450,-450
 n AJT62.K9.T954.KQ ,e 8743.J732.62.A83 ,s .AQ.QJ83.JT76542 ,w KQ95.T8654.AK7.9 ,5,2,4,2,13,650,4,0,2,4,7,10,550,2,9,9,4,6,6,4,4,9,7,5,9,9,4,6,6,4,4,8,7,5,-100,100
 n AKQJ98.632.K32.7 ,e T5.J4.JT74.AKQ52 ,s 32.AT985.A96.T84 ,w 764.KQ7.Q85.J963 ,6,3,3,1,13,600,4,2,5,3,3,8,900,4,5,6,10,9,8,8,6,3,3,4,5,6,10,9,8,8,6,3,3,4,420,-420
 n AKQ985.3.QJ64.T7 ,e J4.KJ6.K9.KQ9863 ,s 32.T842.A873.AJ2 ,w T76.AQ975.T52.54 ,6,1,4,2,12,500,3,2,4,4,3,9,900,4,6,11,5,10,8,6,2,7,3,4,6,11,5,10,8,6,2,7,3,4,420,-420
 n KT9653.AK7.9.KT2 ,e Q4.JT82.J63.9874 ,s J8.Q5.AKT872.J53 ,w A72.9643.Q54.AQ6 ,6,3,1,3,13,600,5,2,2,6,3,11,800,3,9,10,8,10,9,3,3,5,3,3,9,10,8,10,9,4,3,5,3,3,420,-420
 n AQJT83.KJ4.J84.8 ,e 74.A952.952.AQT3 ,s 92.83.AKT6.KJ542 ,w K65.QT76.Q73.976 ,6,3,3,1,12,650,3,2,2,4,5,11,700,4,8,10,7,10,10,5,3,6,3,3,8,10,7,10,9,5,3,6,3,3,430,-430
 n KQT953.QJ3.A32.9 ,e 862.AT52.KJ94.76 ,s AJ.K864.T87.KT54 ,w 74.97.Q65.AQJ832 ,6,3,3,1,12,600,3,2,4,3,4,11,800,4,4,6,8,9,7,8,6,3,4,3,5,6,8,9,7,8,6,3,4,3,140,-140
 n AQT53.Q743.8.AT9 ,e 964.AKJT98.K2.K6 ,s J2.5.AQT9743.J42 ,w K87.62.J65.Q8753 ,5,4,1,3,12,650,4,2,1,7,3,8,700,2,8,11,7,9,8,4,1,6,4,4,8,11,6,9,8,4,1,6,4,4,400,-400
 n AQT98.7.KJ54.K65 ,e KJ4.AKQT94.AT3.2 ,s .632.Q862.AQT974 ,w 76532.J85.97.J83 ,5,1,4,3,13,600,4,0,3,4,6,8,650,2,10,10,4,6,6,2,2,9,6,6,10,10,4,6,6,2,2,8,6,6,100,-100
 n AQJ87.J.KJT53.KT ,e 53.AQ92.64.A9842 ,s K9.KT8753.Q82.75 ,w T642.64.A97.QJ63 ,5,1,5,2,15,400,4,2,6,3,2,8,750,2,4,9,7,9,6,9,4,5,4,7,4,9,7,9,6,9,4,5,4,7,100,-100
 n AKQ53.K983.6.KJT ,e J64..KQJT972.654 ,s T2.AQT4.543.Q972 ,w 987.J7652.A8.A83 ,5,4,1,3,16,450,5,2,4,3,4,8,850,2,9,5,11,9,5,4,8,2,2,4,9,5,11,8,5,4,8,2,2,4,450,-450
 n KT964..A85.AJT94 ,e 875.AKQ62.J43.83 ,s Q3.J853.QT7.KQ72 ,w AJ2.T974.K962.65 ,5,0,3,5,12,550,5,2,4,3,4,10,850,1,12,7,7,10,8,1,5,6,2,4,12,8,7,10,8,1,5,6,2,4,920,-920
 n AKJ95.Q8.A83.J93 ,e QT6.AKT7532.74.7 ,s 32..KQJT65.KQ852 ,w 874.J964.92.AT64 ,5,2,3,3,15,750,5,2,0,6,5,11,400,2,11,11,4,11,5,1,1,9,2,5,11,11,4,10,5,1,1,9,2,5,450,-450
 n AQJ965.2.A4.KQ98 ,e 87.QJ984.K5.T762 ,s T2.A63.7632.AJ53 ,w K43.KT75.QJT98.4 ,6,1,2,4,16,350,5,2,3,4,4,9,900,4,13,7,5,12,12,0,5,8,1,1,13,7,5,12,12,0,5,8,1,1,1100,-1100
 n AK842.QT862.63.A ,e 9753.K43.KQ85.84 ,s 6.AJ975.AT97.732 ,w QJT..J42.KQJT965 ,5,5,2,1,13,550,5,1,5,4,3,9,800,4,5,8,12,9,9,8,5,1,3,4,5,8,12,10,9,8,5,1,3,4,980,-980
 n AKQ432.J.KJT5.J9 ,e JT86.Q5.983.A543 ,s 95.AKT973.642.Q6 ,w 7.8642.AQ7.KT872 ,6,1,4,2,15,450,4,2,6,3,2,9,800,3,5,8,10,8,7,8,4,2,3,4,5,8,10,8,7,8,5,2,3,4,420,-420
 n AK9854.A2.Q6.K96 ,e J632.QJ8.JT7.AQ4 ,s T7.97543.AK92.J3 ,w Q.KT6.8543.T8752 ,6,2,2,3,16,600,6,2,5,4,2,8,800,3,6,8,8,10,8,6,3,4,3,3,6,8,8,10,8,6,3,4,3,3,420,-420
 n KQ983.A84.K8.QJ9 ,e 764.KJ952.QT3.KT ,s AJ.Q763.A94.8753 ,w T52.T.J7652.A642 ,5,3,2,3,15,600,4,2,4,3,4,11,850,4,9,6,8,9,9,4,6,4,3,3,9,6,8,9,9,4,6,4,3,3,400,-400
 n AKJ6532.J.KJ4.K3 ,e Q87.KQ542.A83.95 ,s T.AT93.QT6.AJT74 ,w 94.876.9752.Q862 ,7,1,3,2,16,450,5,1,4,3,5,11,700,4,10,10,9,11,10,3,3,4,2,3,10,10,9,11,10,3,3,4,2,3,450,-450
 n AKJ32.JT875.K6.A ,e Q74.2.97532.KQ97 ,s 65.A94.AQT4.J643 ,w T98.KQ63.J8.T852 ,5,5,2,1,16,450,6,2,3,4,4,11,800,4,8,9,11,10,10,5,3,2,3,3,8,9,11,10,10,5,3,2,3,3,450,-450
 n AKJ32.AJT93.A.97 ,e .742.T764.KQ8642 ,s T6.Q86.Q952.AJT3 ,w Q98754.K5.KJ83.5 ,5,5,1,2,17,400,7,2,3,4,4,9,850,2,8,7,12,10,11,5,6,1,3,2,8,7,11,10,11,5,6,1,3,2,980,-980
 n AQJ53.T.A2.AJ962 ,e T7642.J53.K73.K5 ,s 98.AQ8.QJT6.Q874 ,w K.K97642.9854.T3 ,5,1,2,5,16,450,6,2,3,4,4,11,750,2,11,9,6,10,9,2,4,7,3,3,11,9,6,9,10,2,4,7,3,3,430,-430
 n AKT853.A.K53.AT3 ,e .32.AJT92.KQJ542 ,s J4.KQT985.Q74.87 ,w Q9762.J764.86.96 ,6,1,3,3,18,500,8,2,6,3,2,8,750,1,5,6,9,9,7,8,6,3,2,3,5,6,9,9,7,8,7,3,2,4,140,-140
 n KQJT6.AT.AT4.Q62 ,e 83.J762.J86.AK75 ,s A7.Q9853.Q932.43 ,w 9542.K4.K75.JT98 ,5,2,3,3,16,650,5,2,5,4,2,8,800,2,7,10,10,9,8,6,3,3,4,3,7,9,9,9,8,6,3,3,4,5,420,-420
 n AT642.Q9.KQJ5.32 ,e K875.742.87643.6 ,s 3.T85.AT92.AJT98 ,w QJ9.AKJ63..KQ754 ,5,2,4,2,12,700,3,1,3,4,5,9,750,4,7,8,4,6,6,6,4,9,7,7,7,9,4,6,6,6,4,9,7,7,-100,100
 n AQJT753.AKT.73.8 ,e 42.9654.K854.AK6 ,s 9.Q73.AQJ62.JT32 ,w K86.J82.T9.Q9754 ,7,3,2,1,14,450,5,1,3,5,4,10,700,2,8,10,9,11,9,5,2,4,1,4,8,10,9,11,9,5,2,4,1,4,450,-450
 n Q75432.QJ84.QJ.A ,e JT6.532.KT87.QJ6 ,s A8.76.A652.98432 ,w K9.AKT9.943.KT75 ,6,4,2,1,12,650,2,2,2,4,5,8,800,4,6,5,6,9,7,7,7,6,4,5,6,5,6,9,7,7,8,6,4,5,140,-140
 n AKQ876.QJ3.97.J5 ,e JT5.AK9876..AQT4 ,s .54.KQJ6432.K863 ,w 9432.T2.AT85.972 ,6,3,2,2,13,600,3,0,2,7,4,9,500,2,4,7,5,7,5,8,6,8,6,8,4,7,4,6,5,7,3,8,5,7,-120,120
 n AKQ96.K762.J.732 ,e 52.AQT.9652.QJ86 ,s T8.J83.KT84.AK54 ,w J743.954.AQ73.T9 ,5,4,1,3,13,600,4,2,3,4,4,11,800,4,8,6,9,9,7,5,6,4,4,4,8,6,9,9,7,5,6,4,4,4,140,-140
 n AKQJ2.A983.Q4.QJ ,e T6.T5.A987.65432 ,s 9.QJ72.KT5.AT987 ,w 87543.K64.J632.K ,5,4,2,2,19,600,5,1,4,3,5,10,700,3,12,9,12,11,12,1,4,0,2,0,12,9,12,11,12,1,4,0,2,0,990,-990
 n AKQ86.A985.9.J95 ,e 42.KQ2.T842.AT83 ,s 95.63.AQ73.KQ742 ,w JT73.JT74.KJ65.6 ,5,4,1,3,14,600,5,2,2,4,5,11,600,3,11,6,7,9,9,2,6,6,3,2,11,6,7,9,9,2,6,6,3,2,400,-400
 n AKJT43.42.AK52.J ,e Q9876.3.98.KT652 ,s .AJT986.Q73.A984 ,w 52.KQ75.JT64.Q73 ,6,2,4,1,16,450,6,0,6,3,4,11,600,4,7,9,11,9,9,5,3,2,3,4,7,10,11,10,9,5,3,2,3,4,450,-450
 n A9832.AT75.A74.3 ,e T654.42.Q5.KT942 ,s J.KQ963.JT62.A75 ,w KQ7.J8.K983.QJ86 ,5,4,3,1,12,700,6,1,5,4,3,11,700,3,7,9,12,8,8,6,3,1,5,4,7,9,12,8,8,6,3,1,5,4,980,-980
